STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3379;19540601;-999;-999;-999;    1;   0.0;   1;-999;   0;  -999;  -999;    -999;   14.0;-999;   17.6;   10.4;-999;eor
       3379;19540602;-999;-999;-999;    1;   0.5;   1;-999;   0;  -999;  -999;    -999;   13.2;-999;   19.7;    9.7;-999;eor
       3379;19540603;-999;-999;-999;    1;   0.0;   1;-999;   0;  -999;  -999;    -999;   16.6;-999;   21.9;    8.2;-999;eor
       3379;19540604;-999;-999;-999;    1;   1.2;   1;-999;   0;  -999;  -999;    -999;   15.2;-999;   17.3;   11.8;-999;eor
       3379;19540605;-999;-999;-999;    1;   6.0;   1;-999;   0;  -999;  -999;    -999;   15.2;-999;   17.7;   13.7;-999;eor
       3379;19540606;-999;-999;-999;    1;   2.3;   1;-999;   0;  -999;  -999;    -999;   12.9;-999;   17.7;   10.9;-999;eor
       3379;19540607;-999;-999;-999;    1;   2.9;   1;-999;   0;  -999;  -999;    -999;   11.5;-999;   14.6;    8.4;-999;eor
       3379;19540608;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   18.0;-999;   23.4;    6.6;-999;eor
       3379;19540609;-999;-999;-999;    1;   0.2;   1;-999;   0;  -999;  -999;    -999;   20.4;-999;   26.3;   12.0;-999;eor
       3379;19540610;-999;-999;-999;    1;   1.0;   1;-999;   0;  -999;  -999;    -999;   13.1;-999;   19.0;   11.3;-999;eor
       3379;19540611;-999;-999;-999;    1;   4.8;   1;-999;   0;  -999;  -999;    -999;   12.8;-999;   18.2;   10.8;-999;eor
       3379;19540612;-999;-999;-999;    1;   0.0;   1;-999;   0;  -999;  -999;    -999;   17.1;-999;   22.4;   10.3;-999;eor
       3379;19540613;-999;-999;-999;    1;   3.6;   1;-999;   0;  -999;  -999;    -999;   16.0;-999;   21.3;   12.9;-999;eor
       3379;19540614;-999;-999;-999;    1;   2.5;   1;-999;   0;  -999;  -999;    -999;   14.2;-999;   17.4;   12.2;-999;eor
       3379;19540615;-999;-999;-999;    1;   0.3;   1;-999;   0;  -999;  -999;    -999;   14.7;-999;   17.5;   12.2;-999;eor
       3379;19540616;-999;-999;-999;    1;   1.2;   1;-999;   0;  -999;  -999;    -999;   14.2;-999;   15.6;   11.8;-999;eor
       3379;19540617;-999;-999;-999;    1;   0.0;   1;-999;   0;  -999;  -999;    -999;   15.5;-999;   20.0;   12.3;-999;eor
       3379;19540618;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   18.8;-999;   22.8;   12.2;-999;eor
       3379;19540619;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   21.8;-999;   26.8;   13.1;-999;eor
       3379;19540620;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   22.8;-999;   28.4;   15.5;-999;eor
       3379;19540621;-999;-999;-999;    1;  23.3;   1;-999;   0;  -999;  -999;    -999;   22.0;-999;   29.3;   16.6;-999;eor
       3379;19540622;-999;-999;-999;    1;   5.8;   1;-999;   0;  -999;  -999;    -999;   20.0;-999;   24.4;   15.8;-999;eor
       3379;19540623;-999;-999;-999;    1;   0.5;   1;-999;   0;  -999;  -999;    -999;   19.3;-999;   22.3;   14.8;-999;eor
       3379;19540624;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   19.4;-999;   23.5;   14.9;-999;eor
       3379;19540625;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   20.7;-999;   25.6;   13.3;-999;eor
       3379;19540626;-999;-999;-999;    1;   0.0;   0;-999;   0;  -999;  -999;    -999;   22.4;-999;   26.6;   16.6;-999;eor
       3379;19540627;-999;-999;-999;    1;   1.7;   1;-999;   0;  -999;  -999;    -999;   17.9;-999;   24.1;   13.8;-999;eor
